JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Senior Data Engineer,https://www.linkedin.com/company/collective,37296,Collective,,,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet","401(k), Dental insurance",https://www.linkedin.com/jobs/view/3971854973/?trk=jobs_biz_prem_srch,2024-07-10 04:19:08+00:00
"Senior Staff Data Scientist, Product",https://www.linkedin.com/company/google,1441,Google,,35.0,"Mountain View, CA",Full-time,Mid-Senior level,"Information Services, Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3952995203/?trk=jobs_biz_prem_srch,2024-07-10 12:24:56+00:00
Data Scientist – Central/West,https://www.linkedin.com/company/alldus,12618960,Alldus,,239.0,"California, United States",Full-time,Entry level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3902994434/?trk=jobs_biz_prem_srch,2024-07-10 12:24:38+00:00
Data Scientist With Marcom,https://www.linkedin.com/company/w3global,1286891,W3Global,,245.0,"Sunnyvale, CA",Full-time,Entry level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3952551440/?trk=jobs_biz_prem_srch,2024-07-10 09:38:29+00:00
Business Intelligence Analyst,https://www.linkedin.com/company/harbor-wholesale-foods,1098754,Harbor Wholesale,,,"Modesto, CA",Full-time,Mid-Senior level,Wholesale,,https://www.linkedin.com/jobs/view/3971867959/?trk=jobs_biz_prem_srch,2024-07-10 04:30:16+00:00
Business Data Analyst 2,https://www.linkedin.com/company/planet-pharma,2474662,Planet Pharma,,96.0,"San Diego, CA",Full-time,,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3959943790/?trk=jobs_biz_prem_srch,2024-07-10 21:12:33+00:00
Data and Processing Systems Engineer ,https://www.linkedin.com/company/conde-group-inc,99386,"Conde Group, Inc.",,11.0,"Santa Clara, CA",Full-time,Mid-Senior level,Automation Machinery Manufacturing,,https://www.linkedin.com/jobs/view/3969544504/?trk=jobs_biz_prem_srch,2024-07-10 20:44:49+00:00
Data Scientist V,https://www.linkedin.com/company/dice,6849,Dice,,5.0,"Menlo Park, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968898867/?trk=jobs_biz_prem_srch,2024-07-10 15:27:59+00:00
Intelligence Analyst,https://www.linkedin.com/company/security-industry-specialists-inc,1368805,Security Industry Specialists,,,"Culver City, CA",Full-time,Mid-Senior level,Security and Investigations,401(k),https://www.linkedin.com/jobs/view/3972231210/?trk=jobs_biz_prem_srch,2024-07-10 16:38:51+00:00
"Data Reporting and Analytics Consultant II, Programming",https://www.linkedin.com/company/kaiser-permanente,1550,Kaiser Permanente,,39.0,"Oakland, CA",Full-time,Mid-Senior level,Hospitals and Health Care,,https://www.linkedin.com/jobs/view/3969521516/?trk=jobs_biz_prem_srch,2024-07-10 16:08:29+00:00
Data Scientist,https://www.linkedin.com/company/dice,6849,Dice,,6.0,"San Francisco, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968899353/?trk=jobs_biz_prem_srch,2024-07-10 15:28:01+00:00
Data Scientist,https://www.linkedin.com/company/fractal-analytics,26945,Fractal,,120.0,San Francisco Bay Area,Full-time,Mid-Senior level,"Technology, Information and Media, IT Services and IT Consulting, Business Consulting and Services",,https://www.linkedin.com/jobs/view/3969543084/?trk=jobs_biz_prem_srch,2024-07-10 19:58:28+00:00
Principal Data Engineer,https://www.linkedin.com/company/dice,6849,Dice,,3.0,"Los Angeles, CA",Full-time,Mid-Senior level,Software Development,401(k),https://www.linkedin.com/jobs/view/3969506006/?trk=jobs_biz_prem_srch,2024-07-10 15:27:46+00:00
Data Analyst,https://www.linkedin.com/company/dassaultsystemes,3896,Dassault Systèmes,,16.0,"San Diego, CA",Full-time,Associate,"Software Development, IT Services and IT Consulting, Research Services",401(k),https://www.linkedin.com/jobs/view/3972597646/?trk=jobs_biz_prem_srch,2024-07-10 21:54:19+00:00
GCP Data Engineer ,https://www.linkedin.com/company/tredence,5208967,Tredence Inc.,,75.0,"San Bruno, CA",Full-time,Mid-Senior level,Business Consulting and Services,,https://www.linkedin.com/jobs/view/3972232672/?trk=jobs_biz_prem_srch,2024-07-10 16:57:43+00:00
"Games Data Scientist, AGS Data Science",https://www.linkedin.com/company/amazongames,78392228,Amazon Games,,1.0,"San Diego, CA",Full-time,,Entertainment Providers,,https://www.linkedin.com/jobs/view/3972706774/?trk=jobs_biz_prem_srch,2024-07-10 22:16:45+00:00
Data Analyst,https://www.linkedin.com/company/general-atomics,11419,General Atomics,,187.0,"Poway, CA",Full-time,Entry level,"Defense and Space Manufacturing, Aviation and Aerospace Component Manufacturing",,https://www.linkedin.com/jobs/view/3972096073/?trk=jobs_biz_prem_srch,2024-07-10 15:56:19+00:00
Data Analyst,https://www.linkedin.com/company/alphaconsultingcorp,87447,Alpha Consulting Corp.,,145.0,"Home Gardens, CA",Full-time,Entry level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3971256507/?trk=jobs_biz_prem_srch,2024-07-10 17:03:39+00:00
Principal Business Data Analyst,https://www.linkedin.com/company/intuit,1666,Intuit,,35.0,"San Diego, CA",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3972091299/?trk=jobs_biz_prem_srch,2024-07-10 16:16:15+00:00
Data Scientist IV,https://www.linkedin.com/company/dice,6849,Dice,,4.0,"Fremont, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3969503170/?trk=jobs_biz_prem_srch,2024-07-10 15:27:47+00:00
Staff Data Scientist - Relocation Assistance Provided,https://www.linkedin.com/company/dice,6849,Dice,,1.0,"San Jose, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968898717/?trk=jobs_biz_prem_srch,2024-07-10 15:28:12+00:00
Senior Data Scientist,https://www.linkedin.com/company/lekconsulting,5210,L.E.K. Consulting,,,Los Angeles Metropolitan Area,Full-time,Mid-Senior level,Business Consulting and Services,,https://www.linkedin.com/jobs/view/3971048237/?trk=jobs_biz_prem_srch,2024-07-10 13:09:57+00:00
Data Scientist or Principal Data Scientist (San Diego),https://www.linkedin.com/company/northrop-grumman-corporation,1412,Northrop Grumman,,11.0,"San Diego, CA",Full-time,Associate,Defense and Space Manufacturing,"Medical insurance, Disability insurance",https://www.linkedin.com/jobs/view/3971881905/?trk=jobs_biz_prem_srch,2024-07-10 06:38:51+00:00
Senior Data Analyst,https://www.linkedin.com/company/robert-half-international,1681,Robert Half,,198.0,"Los Angeles, CA",Full-time,Mid-Senior level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3969527832/?trk=jobs_biz_prem_srch,2024-07-10 17:53:35+00:00
Technical Data Analyst,https://www.linkedin.com/company/zortech,51628714,Zortech Solutions,,,"San Francisco, CA",Full-time,Entry level,Human Resources Services,,https://www.linkedin.com/jobs/view/3972515199/?trk=jobs_biz_prem_srch,2024-07-10 19:20:34+00:00
"Senior Data Scientist, Business Intelligence",https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,252.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3961795912/?trk=jobs_biz_prem_srch,2024-07-10 18:49:32+00:00
Senior Data Engineer,https://www.linkedin.com/company/dice,6849,Dice,,6.0,"Calabasas, CA",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3968899360/?trk=jobs_biz_prem_srch,2024-07-10 15:28:00+00:00
Staff Data Scientist,https://www.linkedin.com/company/coinbase,2857634,Coinbase,,25.0,"San Francisco, CA",Full-time,Entry level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3953024236/?trk=jobs_biz_prem_srch,2024-07-10 12:38:18+00:00
Data Engineer,https://www.linkedin.com/company/veear-projects,1313100,VeeAR Projects Inc.,,,"Mountain View, CA",Contract,Associate,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3971890363/?trk=jobs_biz_prem_srch,2024-07-10 07:27:52+00:00
Supply Chain Data & Analytics Analyst,https://www.linkedin.com/company/n2s-global,226965,Net2Source Inc.,,,"San Clemente, CA",Contract,Entry level,Pharmaceutical Manufacturing,,https://www.linkedin.com/jobs/view/3971890652/?trk=jobs_biz_prem_srch,2024-07-10 07:41:26+00:00
Staff Data Scientist - Relocation Assistance Provided,https://www.linkedin.com/company/dice,6849,Dice,,1.0,"Los Angeles, CA",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3969500234/?trk=jobs_biz_prem_srch,2024-07-10 15:28:10+00:00
Data Engineer II,https://www.linkedin.com/company/anchor-loans,483964,Anchor Loans,,143.0,"Thousand Oaks, CA",Full-time,Entry level,Financial Services,401(k),https://www.linkedin.com/jobs/view/3952757096/?trk=jobs_biz_prem_srch,2024-07-10 12:06:00+00:00
Data Analyst- Managed Care,https://www.linkedin.com/company/pacificclinics,634422,Pacific Clinics,,24.0,"Los Gatos, CA",Full-time,Entry level,"Hospitals and Health Care, Mental Health Care, Non-profit Organizations",,https://www.linkedin.com/jobs/view/3972532739/?trk=jobs_biz_prem_srch,2024-07-10 19:51:38+00:00
Data Engineer,https://www.linkedin.com/company/req-solutions-pvt-ltd,13613470,REQ Solutions,,40.0,"San Francisco, CA",Contract,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3972594706/?trk=jobs_biz_prem_srch,2024-07-10 21:41:31+00:00
Sr Data & Control Systems Engineer,https://www.linkedin.com/company/relativity,10799650,Relativity Space,,8.0,"Long Beach, CA",Full-time,Mid-Senior level,Aviation and Aerospace Component Manufacturing,,https://www.linkedin.com/jobs/view/3971847910/?trk=jobs_biz_prem_srch,2024-07-10 03:33:13+00:00
Data Analyst II,https://www.linkedin.com/company/clickjobsio,3516935,ClickJobs.io,,,"Topanga, CA",Full-time,Entry level,Human Resources Services,Medical insurance,https://www.linkedin.com/jobs/view/3968345860/?trk=jobs_biz_prem_srch,2024-07-10 08:36:08+00:00
Data Analyst II,https://www.linkedin.com/company/clickjobsio,3516935,ClickJobs.io,,,"Los Angeles, CA",Full-time,Entry level,Human Resources Services,Medical insurance,https://www.linkedin.com/jobs/view/3968347670/?trk=jobs_biz_prem_srch,2024-07-10 08:36:29+00:00
Data Analyst II,https://www.linkedin.com/company/clickjobsio,3516935,ClickJobs.io,,,"La Palma, CA",Full-time,Entry level,Human Resources Services,Medical insurance,https://www.linkedin.com/jobs/view/3968347671/?trk=jobs_biz_prem_srch,2024-07-10 08:36:29+00:00
Senior Backend Engineer,https://www.linkedin.com/company/jobot,18860134,Jobot,,,"Palo Alto, CA",Full-time,,"IT Services and IT Consulting, Software Development",,https://www.linkedin.com/jobs/view/3971690809/?trk=jobs_biz_prem_srch,2024-07-10 22:05:00+00:00
"Data Engineer, Sr Level 3 - Remote",https://www.linkedin.com/company/globant,8141,Globant,,911.0,"California, United States",Full-time,Mid-Senior level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3862431923/?trk=jobs_biz_prem_srch,2024-07-10 10:11:12+00:00
Senior Operations Data Scientist,https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,330.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3952450792/?trk=jobs_biz_prem_srch,2024-07-10 18:50:30+00:00
Data Analyst,https://www.linkedin.com/company/sony-electronics,1253,Sony Electronics,,1716.0,"San Diego, CA",Full-time,Associate,Computers and Electronics Manufacturing,"401(k), Student loan assistance",https://www.linkedin.com/jobs/view/3952761393/?trk=jobs_biz_prem_srch,2024-07-10 09:42:30+00:00
Data Analyst-CA,https://www.linkedin.com/company/american-technology-consulting,2736308,ATC,,200.0,"California, United States",Full-time,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3968891358/?trk=jobs_biz_prem_srch,2024-07-10 14:22:28+00:00
Senior Data Engineer,https://www.linkedin.com/company/applicantz-com,24629,Applicantz,,167.0,"San Francisco, CA",Contract,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3968882049/?trk=jobs_biz_prem_srch,2024-07-10 12:04:32+00:00
Senior Backend Engineer,https://www.linkedin.com/company/jobot,18860134,Jobot,,,"San Francisco, CA",Full-time,,"IT Services and IT Consulting, Software Development",,https://www.linkedin.com/jobs/view/3971693021/?trk=jobs_biz_prem_srch,2024-07-10 22:04:59+00:00
Principal Data Processing Unit Software Engineer – Secure Enclave,https://www.linkedin.com/company/microsoft,1035,Microsoft,,1.0,"Santa Clara, CA",Full-time,,Software Development,,https://www.linkedin.com/jobs/view/3972582800/?trk=jobs_biz_prem_srch,2024-07-10 21:22:12+00:00
Azure Data Engineer ,https://www.linkedin.com/company/bluerosetechnologies,30950491,BlueRose Technologies,,796.0,"Fremont, CA",Contract,Mid-Senior level,"IT Services and IT Consulting, Software Development, Information Services",,https://www.linkedin.com/jobs/view/3968896502/?trk=jobs_biz_prem_srch,2024-07-10 15:04:13+00:00
Staff Data Scientist - Relocation Assistance Provided,https://www.linkedin.com/company/dice,6849,Dice,,,"California, United States",Full-time,Entry level,Software Development,,https://www.linkedin.com/jobs/view/3968894921/?trk=jobs_biz_prem_srch,2024-07-10 15:28:14+00:00
Data Engineer,https://www.linkedin.com/company/research-affiliates,77280,Research Affiliates,,64.0,"Newport Beach, CA",Full-time,Mid-Senior level,Financial Services,,https://www.linkedin.com/jobs/view/3969535226/?trk=jobs_biz_prem_srch,2024-07-10 20:54:37+00:00
"Senior, Data Scientist | Pricing | Optimization",https://www.linkedin.com/company/walmart,2646,Walmart,,24.0,"Sunnyvale, CA",Full-time,Mid-Senior level,Retail,401(k),https://www.linkedin.com/jobs/view/3972033061/?trk=jobs_biz_prem_srch,2024-07-10 10:29:46+00:00
Space Intelligence Analyst,https://www.linkedin.com/company/leidos,2973906,Leidos,,,"El Segundo, CA",Full-time,Mid-Senior level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3968025333/?trk=jobs_biz_prem_srch,2024-07-10 03:29:16+00:00
Quantitative Analyst,https://www.linkedin.com/company/east-west-bank,14528,East West Bank,,1469.0,"Pasadena, CA",Full-time,Mid-Senior level,Banking,,https://www.linkedin.com/jobs/view/3907451573/?trk=jobs_biz_prem_srch,2024-07-10 10:31:07+00:00
Data Engineer II,https://www.linkedin.com/company/hinge-health,10813033,Hinge Health,,180.0,"San Francisco, CA",Full-time,,Software Development,401(k),https://www.linkedin.com/jobs/view/3971866951/?trk=jobs_biz_prem_srch,2024-07-10 04:53:09+00:00
Marketing Data Analyst,https://www.linkedin.com/company/dice,6849,Dice,,18.0,"Irvine, CA",Full-time,Mid-Senior level,Software Development,,https://www.linkedin.com/jobs/view/3968898606/?trk=jobs_biz_prem_srch,2024-07-10 15:28:21+00:00
Data Scientist - Machine Learning,https://www.linkedin.com/company/instagram,2289109,Instagram,,44.0,"San Francisco, CA",Full-time,,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3970885808/?trk=jobs_biz_prem_srch,2024-07-10 10:38:16+00:00
GCP Data Engineer with Python. Local candidates only.,https://www.linkedin.com/company/maxonic,21784,Maxonic,,792.0,"Pleasanton, CA",Contract,Mid-Senior level,Information Services,,https://www.linkedin.com/jobs/view/3959287084/?trk=jobs_biz_prem_srch,2024-07-10 17:02:48+00:00
Data Engineer,https://www.linkedin.com/company/the-guitar-center-company,8359,The Guitar Center Company,,232.0,"Westlake Village, CA",Full-time,Entry level,Manufacturing,,https://www.linkedin.com/jobs/view/3968079807/?trk=jobs_biz_prem_srch,2024-07-10 10:18:28+00:00
Senior Data Engineer,https://www.linkedin.com/company/lumenalta,719642,Lumenalta (formerly Clevertech),,4.0,"San Diego, CA",Full-time,Mid-Senior level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3971007986/?trk=jobs_biz_prem_srch,2024-07-10 12:06:29+00:00
"Senior, Data Engineer",https://www.linkedin.com/company/walmart,2646,Walmart,,116.0,"Sunnyvale, CA",Full-time,Mid-Senior level,Retail,401(k),https://www.linkedin.com/jobs/view/3953822632/?trk=jobs_biz_prem_srch,2024-07-10 12:41:06+00:00
"Senior Staff Data Scientist, Research",https://www.linkedin.com/company/google,1441,Google,,35.0,"Mountain View, CA",Full-time,Mid-Senior level,"Information Services, Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3952997041/?trk=jobs_biz_prem_srch,2024-07-10 11:24:45+00:00
Principal Data Processing Unit Software Engineer - Compute,https://www.linkedin.com/company/microsoft,1035,Microsoft,,10.0,"California, United States",Full-time,,Software Development,,https://www.linkedin.com/jobs/view/3910636803/?trk=jobs_biz_prem_srch,2024-07-10 13:26:06+00:00
Senior Data Engineer,https://www.linkedin.com/company/hinge-health,10813033,Hinge Health,,57.0,"San Francisco, CA",Full-time,,Software Development,401(k),https://www.linkedin.com/jobs/view/3971869684/?trk=jobs_biz_prem_srch,2024-07-10 04:53:09+00:00
"Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training",https://www.linkedin.com/company/amazon-web-services,2382910,Amazon Web Services (AWS),,,"Cupertino, CA",Full-time,Mid-Senior level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3972709931/?trk=jobs_biz_prem_srch,2024-07-10 22:24:25+00:00
Staff Clinical Biostatistician,https://www.linkedin.com/company/care-dx-inc,3693158,"CareDx, Inc.",,23.0,"Brisbane, CA",Full-time,Mid-Senior level,Biotechnology Research,"Commuter benefits, 401(k)",https://www.linkedin.com/jobs/view/3953826576/?trk=jobs_biz_prem_srch,2024-07-10 13:21:24+00:00
Staff Data Engineer,https://www.linkedin.com/company/fairewholesale,18013280,Faire,,155.0,"San Francisco, CA",Full-time,Associate,Software Development,,https://www.linkedin.com/jobs/view/3952973700/?trk=jobs_biz_prem_srch,2024-07-10 13:33:35+00:00
Data Scientist,https://www.linkedin.com/company/cynet-systems,5003556,Cynet Systems,,,"San Jose, CA",Contract,Entry level,Information Technology & Services,,https://www.linkedin.com/jobs/view/3971088013/?trk=jobs_biz_prem_srch,2024-07-10 14:26:00+00:00
Senior Data Scientist - Engagement,https://www.linkedin.com/company/nextdoor-com,1916708,Nextdoor,,821.0,"San Francisco, CA",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/3901705813/?trk=jobs_biz_prem_srch,2024-07-10 18:50:15+00:00
Junior Data Scientist (Remote),https://www.linkedin.com/company/synergisticit,66321745,SynergisticIT,,,"Los Angeles, CA",Full-time,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/3971458724/?trk=jobs_biz_prem_srch,2024-07-10 18:08:50+00:00
"Data Engineer, Clinical Pipeline # 3854",https://www.linkedin.com/company/grail-inc.,10399839,GRAIL,,115.0,"Menlo Park, CA",Contract,Mid-Senior level,"Software Development, IT Services and IT Consulting, Biotechnology Research",,https://www.linkedin.com/jobs/view/3972237063/?trk=jobs_biz_prem_srch,2024-07-10 17:01:47+00:00
Sr Principal Data Scientist,https://www.linkedin.com/company/genentech,2276,Genentech,,30.0,"South San Francisco, CA",Full-time,Mid-Senior level,Biotechnology Research,,https://www.linkedin.com/jobs/view/3953803248/?trk=jobs_biz_prem_srch,2024-07-10 14:25:36+00:00
